name,total_number,fill_f_A,fill_f_p,l1_norm
NGC4941,10120,0.1017,0.1427,2.0
PS15mb,347,0.0052,0.3074,2.5
NGC7742,14451,0.1705,0.2364,0.8
NGC_P1,1086,0.0130,0.1966,1.7
NGC1042,19165,0.1744,0.3264,2.4
ASASSN-15jp,24319,0.2861,0.6340,1.0
SDSSJ142710.8+050805,935,0.0228,0.0801,3.7
NGC1427A,16321,0.2127,0.3757,1.4
N4325,101,0.0033,0.0337,9.0
NGFS033807-,3,0.0001,0.2308,nan
NGC4486,154,0.0017,0.0107,1.1
NGC4706,11,0.0001,0.0377,5.5
SDSSJ110923.1+105003,5752,0.0900,0.3570,0.8
NGC1060,17,0.0002,0.0509,nan
SN2003hg,1106,0.0154,0.2470,3.6
ESO499-G37,3749,0.0403,0.0740,1.4
SN2004gs,11,0.0002,0.0303,1.9
SN2004ef,2476,0.0355,0.2822,2.5
NGC0034,462,0.0060,0.0451,1.4
PSNJ07250042+2347030,15903,0.1971,0.4415,0.9
HCG91c,37245,0.4210,0.7368,0.9
ASASSN-15qh,15212,0.1696,0.3812,1.1
ESO443-21,26583,0.3075,0.7725,4.0
SN2003ic,22,0.0003,0.0390,12.5
SN2005bg,4962,0.0919,0.5994,1.5
SCG0018_fieldA3,12545,0.1487,0.5619,1.5
SN2005lw,4122,0.0635,0.6526,1.0
SN2005gn,6905,0.1048,0.3882,1.1
SN2005iq,7077,0.0987,0.4571,2.2
SDSSJ154609.7+065353,3069,0.0437,0.1674,1.4
SDSSJ111128.3+065425,5519,0.1296,0.5468,2.2
PGC30591,9967,0.1580,0.6449,1.7
SN1991bj,15153,0.2134,0.7007,0.8
NGC3783,25765,0.2729,0.3457,1.1
PTF11ra_1,15360,0.0915,0.2670,1.2
ASASSN-15ta,1499,0.0563,0.5236,1.7
HE0203-0031,173,0.0040,0.1073,4.4
NGC838,18037,0.1877,0.3722,0.9
iPTF13dge,26888,0.2704,0.5284,0.6
PSNJ10292799+2200468,5579,0.0670,0.3525,0.8
SCG0018_fieldB1,1370,0.0184,0.2884,0.9
SN1997X,13357,0.1474,0.5250,0.5
SN2005hc,970,0.0165,0.2391,2.3
PTF11qnr,15962,0.1945,0.4159,0.4
SN2005bs,6146,0.0800,0.5703,0.7
SN2004ey,2866,0.0367,0.3549,4.2
SN2006E_2,1201,0.0171,0.5755,2.1
ESO157-49,22677,0.2805,0.5727,0.7
SN2006br,5236,0.0685,0.2541,1.6
SN1994D,499,0.0054,0.0705,5.7
PTF13asv,54,0.0008,0.2857,10.1
SN2006eq,905,0.0128,0.4020,2.9
SN2006ot,5,0.0001,0.1515,nan
NGC3256,24755,0.2538,0.2985,1.4
ASASSN13cc_2_new,31342,0.0718,0.3840,0.6
SN2005al,28,0.0004,0.0056,15.4
HE0227-0913,3465,0.0546,0.4886,0.7
SN2006cu,6319,0.0842,0.5473,0.8
SN2005Z,11146,0.1477,0.4552,0.8
SN2007ba,344,0.0051,0.1238,4.1
PTF11qpc,1031,0.0179,0.5215,0.9
NGC3311_FieldA_exp1,52,0.0014,0.1739,10.4
