name,FWHM,sigma_FWHM
MCUBE,0.967,0.268
Mrk,0.768,0.067
N4325,0.715,0.024
NGC0034,1.99,0.618
NGC0307,1.834,0.004
NGC0410,1.559,0.164
NGC0424,1.027,0.184
NGC0448,1.672,1.222
NGC0545_b,0.672,0.059
NGC0545,0.672,0.059
NGC0613,0.811,0.235
NGC0628-P7,0.645,0.012
NGC0924,0.871,0.073
NGC1042,0.798,0.08
NGC1060,0.793,0.036
NGC1068,1.44,0.773
NGC1097,0.769,0.148
NGC1218,1.05,0.075
NGC1291,1.777,0.722
NGC1300,1.176,0.375
NGC1326,0.975,0.313
NGC1427A,0.661,0.138
NGC1433,0.704,0.115
NGC1483,0.744,0.179
NGC1512,0.851,0.211
NGC1587,0.789,0.035
NGC1705,0.798,0.198
NGC2207,0.691,0.196
NGC2698,0.591,0.044
NGC289,0.72,0.201
NGC2906,0.721,0.129
NGC2960,0.766,0.028
NGC2992,0.887,0.21
NGC3091,1.199,0.209
NGC3256,0.507,0.023
NGC3311_FieldA_exp1,0.656,0.033
NGC3351,0.92,0.218
NGC3783,0.796,0.031
NGC4030,0.698,0.063
NGC4191,0.908,0.046
NGC4261,0.707,0.126
NGC4371,0.943,0.107
NGC4486,1.083,0.039
NGC4496A,0.667,0.083
NGC4592,0.701,0.035
NGC4603,0.576,0.045
NGC4643,0.982,0.357
NGC4696D,1.344,0.172
NGC4706,0.535,0.057
NGC4790,0.556,0.084
NGC4825,1.126,0.283
NGC4936,0.945,0.121
NGC4941,0.817,0.185
NGC4980,0.584,0.101
NGC4981,0.738,0.193
NGC5010,0.681,0.0
NGC5102,0.694,0.203
NGC5236,0.804,0.082
NGC5248,0.625,0.051
NGC5328,1.22,0.415
NGC5334,0.581,0.058
NGC5419,1.336,0.155
NGC5507,0.711,0.161
NGC5584,1.099,0.199
NGC5626,1.057,0.209
NGC5728,0.622,0.112
NGC5806,0.688,0.035
NGC5850,1.128,0.19
NGC6240,0.814,0.182
NGC6658,1.361,0.036
NGC6754,1.145,0.604
NGC677,0.717,0.073
NGC6902,0.696,0.133
NGC6926-S,0.88,0.051
NGC7130,1.576,0.276
NGC7140,0.943,0.163
NGC7162,0.697,0.113
NGC7421,0.74,0.115
NGC7469,0.898,0.018
NGC7496,0.682,0.128
NGC7552,1.928,0.766
NGC7582,1.536,0.776
NGC7742,0.762,0.055
NGC7755,0.803,0.12
NGC833,1.417,0.416
NGC835,0.995,0.251
NGC838,1.069,0.263
NGC848,2.835,1.788
NGC,1.019,0.466
